timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603713097608,685,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,782,0,5,5,https://google.com/search?q=Minna,685,0,0
1603713097614,686,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,782,0,5,5,https://google.com/search?q=Minna,686,0,0
1603713097619,692,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,5,5,https://google.com/search?q=Minna,692,0,0
1603713097618,695,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,782,0,5,5,https://google.com/search?q=Minna,695,0,0
1603713098238,698,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,780,0,5,5,https://google.com/search?q=Abel,698,0,0
1603713098294,705,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,780,0,5,5,https://google.com/search?q=Abel,705,0,0
1603713098301,704,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,780,0,5,5,https://google.com/search?q=Abel,704,0,0
1603713098314,702,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,780,0,5,5,https://google.com/search?q=Abel,702,0,0
1603713098312,711,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,780,0,5,5,https://google.com/search?q=Abel,711,0,0
1603713098936,701,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,782,0,5,5,https://google.com/search?q=Kiley,701,0,0
1603713098999,698,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,782,0,5,5,https://google.com/search?q=Kiley,698,0,0
1603713099005,700,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,782,0,5,5,https://google.com/search?q=Kiley,700,0,0
1603713099023,705,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,5,5,https://google.com/search?q=Kiley,705,0,0
1603713099015,715,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,782,0,5,5,https://google.com/search?q=Kiley,715,0,0
1603713099638,687,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,788,0,5,5,https://google.com/search?q=Graciela,687,0,0
1603713099698,694,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,788,0,5,5,https://google.com/search?q=Graciela,694,0,0
1603713099707,687,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,788,0,5,5,https://google.com/search?q=Graciela,687,0,0
1603713099729,689,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,788,0,5,5,https://google.com/search?q=Graciela,689,0,0
1603713099731,690,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,788,0,5,5,https://google.com/search?q=Graciela,690,0,0
1603713100326,693,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,782,0,5,5,https://google.com/search?q=Cammy,693,0,0
1603713100395,699,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,782,0,5,5,https://google.com/search?q=Cammy,699,0,0
1603713100393,703,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,782,0,5,5,https://google.com/search?q=Cammy,703,0,0
1603713100419,690,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,782,0,5,5,https://google.com/search?q=Cammy,690,0,0
1603713100422,691,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,782,0,5,5,https://google.com/search?q=Cammy,691,0,0
1603713101020,734,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,784,0,5,5,https://google.com/search?q=Mattie,734,0,0
1603713101095,705,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,784,0,5,5,https://google.com/search?q=Mattie,705,0,0
1603713101096,707,GoogleSearch,301,Moved Permanently,GoogleTG 1-2,text,true,,784,0,5,5,https://google.com/search?q=Mattie,707,0,0
1603713101110,695,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,784,0,5,5,https://google.com/search?q=Mattie,695,0,0
1603713101113,697,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,784,0,5,5,https://google.com/search?q=Mattie,697,0,0
1603713101755,697,GoogleSearch,301,Moved Permanently,GoogleTG 1-5,text,true,,786,0,5,5,https://google.com/search?q=Meaghan,697,0,0
1603713101800,703,GoogleSearch,301,Moved Permanently,GoogleTG 1-3,text,true,,786,0,5,5,https://google.com/search?q=Meaghan,703,0,0
1603713101806,704,GoogleSearch,301,Moved Permanently,GoogleTG 1-1,text,true,,786,0,5,5,https://google.com/search?q=Meaghan,704,0,0
1603713101811,700,GoogleSearch,301,Moved Permanently,GoogleTG 1-4,text,true,,786,0,5,5,https://google.com/search?q=Meaghan,700,0,0
